categoria;complejo;numero de partido;etapa;dia y horario;pareja
C6;LA MECA;54;8vos;SABADO 15:30 HS;#42 vs #43
C6;LA MECA;55;8vos;SABADO 15:30 HS;#44 vs #45
C6;LA MECA;56;8vos;SABADO 13:00 HS;#46 vs #47
C6;LA MECA;57;8vos;SABADO 13:00 HS;#48 vs #49
C6;LA MECA;58;4tos;SABADO 22:15 HS;#50 vs #51
C6;LA MECA;59;4tos;SABADO 19:45 HS;#52 vs #53
C6;LA MECA;60;4tos;SABADO 19:45 HS;#54 vs #55
C6;LA MECA;61;4tos;SABADO 17:00 HS;#56 vs #57
C6;REAL PADEL;62;Semifinal;SABADO 12:00 HS;#58 vs #59
C6;REAL PADEL;63;Semifinal;SABADO 12:00 HS;#60 vs #61
C6;REAL PADEL;64;Final;DOMINGO 16:00 HS;#62 vs #63
C6 35;EL PORTAL;34;16vos;VIERNES 21:00 HS;A. GUTIERREZ / M. FERNANDEZ vs MONTENEGRO / JAIME
C6 35;EL PORTAL;35;16vos;VIERNES 22:30 HS;F. MARTINEZ / FARFAGLIA vs D. VELAZQUEZ / LIJO
C6 35;EL PORTAL;36;16vos;VIERNES 19:30 HS;VALENZUELA / D. SANCHEZ vs E. SANCHEZ / ROJKIN
C6 35;EL PORTAL;37;16vos;VIERNES 19:30 HS;P. MARTINEZ / BUENAVENTURA vs URBINI / TRAVASSO
C6 35;EL PORTAL;49;16vos;SABADO 17:15 HS;OTTONELLO / MONTI (espera ganador del partido 34)
C6 35;EL PORTAL;50;8vos;SABADO 16:45 HS;BURAKOSKI / M. JUAREZ vs ANGIO / L. MARTINEZ
C6 35;EL PORTAL;51;8vos;SABADO 14:15 HS;N. JARA / ZABALA vs M. GONZALEZ / NIZ
C6 35;EL PORTAL;52;8vos;SABADO 14:15 HS;SALCEDO / KUMABE (espera ganador del partido 35)
C6 35;EL PORTAL;53;8vos;SABADO 13:00 HS;PAULONI / ALONSO (espera ganador del partido 36)
C6 35;EL PORTAL;54;8vos;SABADO 13:00 HS;D. FABRICIO / CASASOLA vs BERNIS / GALLINA
C6 35;EL PORTAL;55;8vos;SABADO 11:45 HS;CAPPELETTI / GALWAY vs PEDREIRA / I. CACERES
C6 35;EL PORTAL;56;8vos;SABADO 11:45 HS;VALLEJOS / TEJEDA (espera ganador del partido 37)
C6 35;EL PORTAL;57;8vos;SABADO 22:15 HS;#49 vs #50
C6 35;EL PORTAL;58;4tos;SABADO 20:45 HS;#51 vs #52
C6 35;EL PORTAL;59;4tos;SABADO 22:00 HS;#53 vs #54
C6 35;EL PORTAL;60;4tos;SABADO 19:15 HS;#55 vs #56
C6 35;MITRE PADEL;61;4tos;DOMINGO 11:45 HS;#57 vs #58
C6 35;MITRE PADEL;62;Semifinal;DOMINGO 11:45 HS;#59 vs #60
C6 35;MITRE PADEL;64;Final;DOMINGO 16:00 HS;#61 vs #62
C6 45;LA MECA;50;8vos;SABADO 15:30 HS;M. QUINTEROS / G. FERNANDEZ vs NIETO / KIRCHHOFF
C6 45;LA MECA;51;8vos;SABADO 17:00 HS;S. SANCHEZ / GARAU vs NELSON / CRUBELLATI
C6 45;LA MECA;54;8vos;SABADO 17:00 HS;ARROYO / FIGINI vs LOND / DI LORENZO
C6 45;LA MECA;55;8vos;SABADO 14:15 HS;ROMERO / JASZCZYSZYN vs J. LUCIDI / C. LUCIDI
C6 45;LA MECA;57;8vos;SABADO 19:45 HS;SOSA / URREJOLA (espera ganador del partido 50)
C6 45;LA MECA;58;4tos;SABADO 21:00 HS;LOUREIRO / DI NENNO (espera ganador del partido 51)
C6 45;LA MECA;59;4tos;SABADO 21:00 HS;LOUREIRO / DI NENNO vs A. CABRAL / CHAVEZ
C6 45;LA MECA;60;4tos;SABADO 18:15 HS;EPIFANI / BOSCATO (espera ganador del partido 55)
C6 45;MITRE PADEL;61;4tos;DOMINGO 10:30 HS;#57 vs #58
C6 45;MITRE PADEL;62;Semifinal;DOMINGO 10:30 HS;#59 vs #60
C6 45;MITRE PADEL;64;Final;DOMINGO 15:30 HS;#61 vs #62
C7;LA MECA;34;16vos;VIERNES 18:00 HS;GARCIA / LOMBI vs CASTELLO / MAGALAES
C7;LA MECA;35;16vos;VIERNES 20:30 HS;STAMPACCHIO / SCHMIDT vs BEARMUGLIA / LISIO
C7;LA MECA;36;16vos;VIERNES 21:45 HS;MARIN / LAVORE vs FUENZALIDA / DAURIA
C7;LA MECA;37;16vos;VIERNES 23:00 HS;SANABRIA / FERMOSELLA vs E. MARTINEZ / SOFIA
C7;LA MECA;38;16vos;VIERNES 18:00 HS;ENRIQUEZ / KUBIS vs KNORR / AMUCHASTEGUI
C7;LA MECA;39;16vos;VIERNES 20:30 HS;FERRARO BENITEZ / SANCHEZ vs MIÑO / SORIA
C7;LA MECA;40;16vos;VIERNES 19:30 HS;GALEANO / NAVARRO vs PEREZ / MERIDA
C7;LA MECA;41;16vos;VIERNES 21:45 HS;OVIEDO / BERNAL vs GAUTO / WACZYNSKI
C7;LA MECA;42;16vos;VIERNES 23:00 HS;DUPUY / LEONI vs MARTINEZ / BALBUENA
C7;LA MECA;43;16vos;VIERNES 18:00 HS;MORALES / MARCOTE vs CABADO / GONZALEZ
C7;LA MECA;44;16vos;VIERNES 19:15 HS;RODRIGUEZ / NEGRETE vs HERRERA / SERVIN
C7;LA MECA;45;16vos;VIERNES 20:30 HS;VELAZCO / VELAZCO vs MOLINA / BURGA
C7;LA MECA;46;16vos;NO JUEGA;GODOY / PERRELLA vs BYE / BYE
C7;LA MECA;47;16vos;VIERNES 21:45 HS;CAMPERO / MAXIMILIANO vs ARTAL / ARENA
C7;LA MECA;48;16vos;VIERNES 22:00 HS;LOPEZ / NAVARRO vs HOVANEC / ALCARAZ
C7;LA MECA;49;16vos;VIERNES 23:00 HS;HOVANEC / ALCARAZ vs JARA / MEDINA
C7;LA MECA;50;8vos;SABADO 13:00 HS;#34 vs #35
C7;LA MECA;51;8vos;SABADO 13:00 HS;#36 vs #37
C7;LA MECA;52;8vos;SABADO 14:15 HS;#38 vs #39
C7;LA MECA;53;8vos;SABADO 14:15 HS;#40 vs #41
